,index,YEAR,MONTH_NAME,EPISODE_ID,EVENT_ID,LOCATION,STATE,EVENT_TYPE,BEGIN_DATE_TIME,END_DATE_TIME,LATITUDE,LONGITUDE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,MAGNITUDE,FLOOD_CAUSE,TOR_F_SCALE,Month_Num,Month_Day,geometry,index_right,city,state_id,state_name,lat,lng
0,20337,2024,January,187879,1153869,FAYSON LAKES,NEW JERSEY,Flood,01-JAN-24 00:00:00,02-JAN-24 22:00:00,40.9766,-74.3471,40.7868,-74.4639,40.9766,-74.3471,,Heavy Rain,,1,2024-01-01,POINT (-5517173.102284239 8423995.452444255),4836,Butler,NJ,New Jersey,40.999,-74.3472
1,19251,2024,January,187879,1153869,CONVENT STATION,NEW JERSEY,Flood,01-JAN-24 00:00:00,02-JAN-24 22:00:00,40.7868,-74.4639,40.7868,-74.4639,40.9766,-74.3471,,Heavy Rain,,1,2024-01-01,POINT (-5551358.473956893 8427749.55643128),2237,Morristown,NJ,New Jersey,40.7967,-74.4772
2,19252,2024,January,187879,1153869,BARTLEY,NEW JERSEY,Flood,01-JAN-24 00:00:00,02-JAN-24 22:00:00,40.8406,-74.7495,40.7868,-74.4639,40.9766,-74.3471,,Heavy Rain,,1,2024-01-01,POINT (-5554294.153772667 8464411.750485586),4532,Flanders,NJ,New Jersey,40.8412,-74.7102
3,20336,2024,January,187879,1153869,GREEN POND,NEW JERSEY,Flood,01-JAN-24 00:00:00,02-JAN-24 22:00:00,41.0411,-74.4714,40.7868,-74.4639,40.9766,-74.3471,,Heavy Rain,,1,2024-01-01,POINT (-5512116.595269064 8441993.895698743),3804,Oak Ridge,NJ,New Jersey,41.0323,-74.4971
4,17493,2024,January,188492,1158399,HACKBERRY,GULF OF MEXICO,Marine Thunderstorm Wind,05-JAN-24 12:39:00,05-JAN-24 12:39:00,29.9922,-93.3358,29.9922,-93.3358,29.9922,-93.3358,34.0,,,1,2024-01-05,POINT (-7754255.031097502 11195181.73084017),15961,Hackberry,LA,Louisiana,29.9717,-93.3947
5,17494,2024,January,188492,1158402,GRAND LAKE,GULF OF MEXICO,Marine Thunderstorm Wind,05-JAN-24 12:55:00,05-JAN-24 12:55:00,29.9883,-93.2691,29.9883,-93.2691,29.9883,-93.2691,46.0,,,1,2024-01-05,POINT (-7757753.713216525 11183086.35487854),15961,Hackberry,LA,Louisiana,29.9717,-93.3947
6,17495,2024,January,188492,1158405,CAMERON,GULF OF MEXICO,Marine Thunderstorm Wind,05-JAN-24 12:48:00,05-JAN-24 12:48:00,29.7648,-93.3432,29.7648,-93.3432,29.7648,-93.3432,40.0,,,1,2024-01-05,POINT (-7802151.929406853 11207145.257105995),25814,Cameron,LA,Louisiana,29.787,-93.2925
7,21863,2024,January,188235,1156432,MID LAKE PONTCHARTRAIN,GULF OF MEXICO,Marine Thunderstorm Wind,05-JAN-24 18:13:00,05-JAN-24 18:13:00,30.15,-90.13,30.15,-90.13,30.15,-90.13,34.0,,,1,2024-01-05,POINT (-7817729.734310767 10591757.187063549),321,Metairie,LA,Louisiana,29.9977,-90.178
8,21864,2024,January,188235,1156433,LKFRNT ARPT NEW,GULF OF MEXICO,Marine Thunderstorm Wind,05-JAN-24 18:35:00,05-JAN-24 18:35:00,30.05,-90.03,30.05,-90.03,30.05,-90.03,36.0,,,1,2024-01-05,POINT (-7841450.839331588 10575165.463679785),55,New Orleans,LA,Louisiana,30.0687,-89.9288
9,19854,2024,January,186968,1149640,MIDWAY,FLORIDA,Thunderstorm Wind,06-JAN-24 06:00:00,06-JAN-24 06:00:00,30.0,-83.03,30.0,-83.03,30.0,-83.03,50.0,,,1,2024-01-06,POINT (-7830914.39862192 9241892.517553248),15592,Branford,FL,Florida,29.9623,-82.9243
